Mecha Leo,,,,Giga Leo,,,,Alpha Leo,,,,
Seconds,X Coordinate, Y Coordinate,,Seconds,X Coordinate, Y Coordinate,,Seconds,X Coordinate, Y Coordinate,,
33,455.17775272453963,237.83633972190904,,33,363.97633136094674,244.47337278106508,,33,376.4733727810651,296.8047337278107,,
34,454.6486910029498,237.5138274336283,,34,364.7573964497042,240.5680473372781,,34,371.7869822485207,296.8047337278107,,
35,454.4265467429817,237.43526846552194,,35,364.7573964497042,240.5680473372781,,35,374.9112426035503,298.36686390532543,,
36,454.2028869286287,237.5343491045175,,36,364.7573964497042,240.5680473372781,,36,381.9408284023669,306.1775147928994,,
37,455.92996941896024,240.017125382263,,37,364.7573964497042,240.5680473372781,,37,381.9408284023669,306.1775147928994,,
38,457.3361715547146,241.88615578681805,,38,364.7573964497042,242.1301775147929,,38,348.35502958579883,296.8047337278107,,
39,455.16773299210917,242.2426956707187,,39,367.8816568047337,243.6923076923077,,39,340.5443786982249,309.301775147929,,
40,454.77952335150155,242.73196537351714,,40,364.7573964497042,241.3491124260355,,40,342.88757396449705,308.5207100591716,,
41,453.34277879341863,240.9190534227097,,41,363.97633136094674,241.3491124260355,,41,345.2307692307692,305.396449704142,,
42,455.068887068887,241.29447629447628,,42,367.10059171597635,246.81656804733728,,42,341.32544378698225,306.9585798816568,,
43,455.8749181401441,240.3985405557115,,43,363.97633136094674,246.03550295857988,,43,341.32544378698225,306.9585798816568,,
44,455.47354718735465,240.0463040446304,,44,368.66272189349115,242.9112426035503,,44,344.44970414201185,306.9585798816568,,
45,454.687741579238,239.30682863979382,,45,366.3195266272189,240.5680473372781,,45,342.88757396449705,310.0828402366864,,
46,454.5766825352375,240.11500046672268,,46,366.3195266272189,241.3491124260355,,46,342.88757396449705,310.0828402366864,,
47,455.35295782621,240.72855929804697,,47,366.3195266272189,243.6923076923077,,47,342.88757396449705,304.61538461538464,,
48,454.37214479287644,240.20334881920246,,48,366.3195266272189,243.6923076923077,,48,342.88757396449705,304.61538461538464,,
49,457.5397206654212,239.64389289209143,,49,368.66272189349115,243.6923076923077,,49,339.76331360946745,304.61538461538464,,
50,455.7075389948007,236.31044194107452,,50,367.8816568047337,239.00591715976333,,50,342.88757396449705,307.7396449704142,,
51,457.5419161676647,239.64196606786427,,51,365.53846153846155,239.00591715976333,,51,340.5443786982249,306.9585798816568,,
52,455.36178442496134,240.58741619391438,,52,363.1952662721894,242.9112426035503,,52,344.44970414201185,309.301775147929,,
